selection_rank	first_public_panel_n	genbank_assembly_accession	biosample_accession	ncbi_organism_name	ncbi_organism_taxid	bacselect_species_name	bacselect_species_taxid	assembly_name	submitter	assembly_release_date	panel_identity	selector	selector_version	architecture_schema_version	source_snapshot_sha256	taxonomy_snapshot_sha256	execution_git_commit	ncbi_assembly_url
381	500	GCA_021729425.1	SAMN25184637	Pseudoalteromonas sp. CF6-2	562716	Pseudoalteromonas sp. CF6-2	562716	ASM2172942v1	shandong university	2022-01-31	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_021729425.1/
382	500	GCA_050211005.1	SAMN48148721	Francisella noatunensis	657445	Francisella noatunensis	657445	ASM5021100v1	Memorial University of Newfoundland	2025-05-06	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_050211005.1/
383	500	GCA_001891125.1	SAMN04811211	Leuconostoc suionicum	1511761	Leuconostoc suionicum	1511761	ASM189112v1	Chung-Ang University	2016-12-08	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_001891125.1/
384	500	GCA_050949265.1	SAMN42902649	Actinoplanes sp. CA-054009	3239900	Actinoplanes sp. CA-054009	3239900	MDNA_WGS_249_assembly	Technical University of Denmark	2025-06-17	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_050949265.1/
385	500	GCA_015482775.1	SAMN12206556	Kaustia mangrovi	2593653	Kaustia mangrovi	2593653	ASM1548277v1	KAUST	2020-11-16	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_015482775.1/
386	500	GCA_047303345.1	SAMN37883954	Prochlorococcus sp. MIT 1227	3082536	Prochlorococcus sp. MIT 1227	3082536	ASM4730334v1	Massachusetts Institute of Technology	2025-01-29	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_047303345.1/
387	500	GCA_014236795.1	SAMN14114378	Xanthomonas theicola	56464	Xanthomonas theicola	56464	ASM1423679v1	The Ohio State University	2020-08-18	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_014236795.1/
388	500	GCA_009176745.1	SAMD00189858	Alteromonas sp. I4	2652380	Alteromonas sp. I4	2652380	ASM917674v1	National Institute of Advanced Industrial Science and Technology	2019-10-10	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_009176745.1/
389	500	GCA_048541585.1	SAMN47143437	Legionella sp. D16C41	3402688	Legionella sp. D16C41	3402688	ASM4854158v1	Shenzhen Center for Disease Control and Prevention	2025-03-11	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_048541585.1/
390	500	GCA_003410315.1	SAMN09812781	Olleya aquimaris	639310	Olleya aquimaris	639310	ASM341031v1	Dong-A University	2018-08-21	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003410315.1/
391	500	GCA_005280735.1	SAMN11476262	Trinickia violacea	2571746	Trinickia violacea	2571746	ASM528073v1	Sun Yat-sen University	2019-05-12	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_005280735.1/
392	500	GCA_047324295.1	SAMN37926504	Fructilactobacillus vespulae	1249630	Fructilactobacillus vespulae	1249630	ASM4732429v1	Instituto de Agroquimica y Tecnologia de Alimentos (CSIC)	2025-01-30	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_047324295.1/
393	500	GCA_000026445.2	SAMN02603618	Mycobacterium liflandii 128FXT	459424	Mycobacterium liflandii	261524	ASM2644v2	Monash University	2013-01-16	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000026445.2/
394	500	GCA_000020685.1	SAMN02603250	Deinococcus deserti VCD115	546414	Deinococcus deserti	310783	ASM2068v1	Genoscope	2009-04-02	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000020685.1/
395	500	GCA_013154915.1	SAMN14892363	Diaphorobacter sp. JS3050	2735554	Diaphorobacter sp. JS3050	2735554	ASM1315491v1	Shanghai Jiao Tong University	2020-05-23	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_013154915.1/
396	500	GCA_025137375.1	SAMN18869931	Dactylosporangium fulvum	53359	Dactylosporangium fulvum	53359	ASM2513737v1	INSERM	2022-09-12	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_025137375.1/
397	500	GCA_024453815.1	SAMN18647611	Corynebacterium pseudogenitalium	38303	Corynebacterium pseudogenitalium	38303	ASM2445381v1	University of Gothenburg - CCUG	2022-07-27	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_024453815.1/
398	500	GCA_013146785.1	SAMN14133048	Shigella sonnei	624	Shigella sonnei	624	ASM1314678v1	University of Bern	2020-05-22	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_013146785.1/
399	500	GCA_023634805.2	SAMN28648202	Comamonas endophytica	2949090	Comamonas endophytica	2949090	ASM2363480v2	Research Institute of Forestry, Chinese Academy of Forestry	2022-10-17	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_023634805.2/
400	500	GCA_003967035.1	SAMD00115724	Aerosticca soli	2010829	Aerosticca soli	2010829	ASM396703v1	Institute of Low Temperature Science, Hokkaido University	2018-05-16	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003967035.1/
401	500	GCA_963360705.1	SAMEA114266243	Monoglobus pectinilyticus	1981510	Monoglobus pectinilyticus	1981510	RSTSDC17_v2	WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES	2023-09-26	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_963360705.1/
402	500	GCA_002407505.1	SAMN04096401	Pseudoalteromonas sp. 1_2015MBL_MicDiv	1720343	Pseudoalteromonas sp. 1_2015MBL_MicDiv	1720343	ASM240750v1	UC Davis	2017-10-02	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_002407505.1/
403	500	GCA_009873495.1	SAMN13242330	Nostoc sp. ATCC 53789	76335	Nostoc sp. ATCC 53789	76335	ASM987349v1	TU Dortmund University	2020-01-14	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_009873495.1/
404	500	GCA_031198785.1	SAMN37071674	Pseudoalteromonas sp. HL-AS1	3071081	Pseudoalteromonas sp. HL-AS1	3071081	ASM3119878v1	Seoul National University	2023-09-06	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_031198785.1/
405	500	GCA_050507325.1	SAMN48172859	Janibacter zhangyanbonis	3405424	Janibacter zhangyanbonis	3405424	ASM5050732v1	Shanxi Medical University	2025-05-21	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_050507325.1/
406	500	GCA_050235535.1	SAMN48211183	Aliinostoc sp. HNIBRCY26	3418997	Aliinostoc sp. HNIBRCY26	3418997	ASM5023553v1	Honam National Institute of Biological Resources	2025-05-07	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_050235535.1/
407	500	GCA_051125215.1	SAMN33274005	Paraburkholderia sp. A3BS-1L	3028375	Paraburkholderia sp. A3BS-1L	3028375	ASM5112521v1	KU Leuven	2025-06-27	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_051125215.1/
408	500	GCA_026278265.1	SAMN31562817	Clostridium sp. LQ25	2992805	Clostridium sp. LQ25	2992805	ASM2627826v1	Tianjin University of Science and Technology	2022-11-22	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_026278265.1/
409	500	GCA_018336615.1	SAMN13943412	Psychrobacter pacificensis	112002	Psychrobacter pacificensis	112002	ASM1833661v1	School of Life Sciences and Biotechnology	2021-05-11	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_018336615.1/
410	500	GCA_000784875.3	SAMN02709496	Pantoea sp. PSNIH1	1484158	Pantoea sp. PSNIH1	1484158	ASM78487v3	NIH	2014-12-23	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000784875.3/
411	500	GCA_009495655.1	SAMN13107518	Streptomyces sp. SYP-A7193	2662065	Streptomyces sp. SYP-A7193	2662065	ASM949565v1	Shenyang Pharmaceutical University	2019-11-02	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_009495655.1/
412	500	GCA_030506325.1	SAMN33591003	Tunicatimonas pelagia	931531	Tunicatimonas pelagia	931531	ASM3050632v1	Xiamen University	2023-07-19	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_030506325.1/
413	500	GCA_041871525.1	SAMN28129676	Virgibacillus sp. CBA3643	2942278	Virgibacillus sp. CBA3643	2942278	ASM4187152v1	World Institute of Kimchi	2024-09-09	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_041871525.1/
414	500	GCA_905175385.2	SAMEA7746099	Vibrio sp. B1FLJ16	2751178	Vibrio sp. B1FLJ16	2751178	B1FLJ16-Hybrid_2	UMR 1253, INRA/Agrocampus	2021-03-25	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_905175385.2/
415	500	GCA_004328665.1	SAMN06323244	Pseudoalteromonas sp. DL-6	1390185	Pseudoalteromonas sp. DL-6	1390185	ASM432866v1	Dalian University	2019-03-06	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_004328665.1/
416	500	GCA_041468075.1	SAMN32936497	Tistrella mobilis	171437	Tistrella mobilis	171437	ASM4146807v1	Shenzhen Bay Lab	2024-08-26	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_041468075.1/
417	500	GCA_015291645.1	SAMN03459142	Bradyrhizobium sp. CCBAU 53340	1325112	Bradyrhizobium sp. CCBAU 53340	1325112	ASM1529164v1	China Agricultural University	2020-11-09	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_015291645.1/
418	500	GCA_046097495.1	SAMN45075124	Corynebacterium axilliensis	3383589	Corynebacterium axilliensis	3383589	ASM4609749v1	University of York	2024-12-15	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_046097495.1/
419	500	GCA_004028275.1	SAMN10724091	Hydrogenovibrio thermophilus	265883	Hydrogenovibrio thermophilus	265883	ASM402827v1	University of South Florida	2019-01-17	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_004028275.1/
420	500	GCA_022410435.1	SAMN24108876	Roseivivax marinus	1379903	Roseivivax marinus	1379903	ASM2241043v1	Resource and Environment Center	2022-02-28	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_022410435.1/
421	500	GCA_051294865.1	SAMN39909796	Cellulosimicrobium sp. PMB13	3120158	Cellulosimicrobium sp. PMB13	3120158	ASM5129486v1	University of Plovdiv	2025-07-10	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_051294865.1/
422	500	GCA_050555575.1	SAMN16255563	Enterococcus sp. MSG3310	2774835	Enterococcus sp. MSG3310	2774835	ASM5055557v1	Broad Institute	2025-05-23	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_050555575.1/
423	500	GCA_051603415.1	SAMN48750230	Streptomyces sp. S186	3434395	Streptomyces sp. S186	3434395	ASM5160341v1	Wuhan University	2025-07-30	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_051603415.1/
424	500	GCA_030064145.1	SAMN35102113	Bacillus sp. BTAI	3047028	Bacillus sp. BTAI	3047028	ASM3006414v1	Zhongkai College of Agriculture and Engineering	2023-05-23	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_030064145.1/
425	500	GCA_902829275.1	SAMEA6627641	Kyrpidia spormannii	2055160	Kyrpidia spormannii	2055160	COOX1	RADBOUD UNIVERSITY	2020-04-15	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_902829275.1/
426	500	GCA_002192355.1	SAMN04015004	Enterobacter cloacae complex sp.	2027919	Enterobacter cloacae complex sp.	2027919	ASM219235v1	Centers for Disease Control and Prevention	2017-06-13	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_002192355.1/
427	500	GCA_038789205.1	SAMN35616942	Staphylococcus hsinchuensis	3051183	Staphylococcus hsinchuensis	3051183	ASM3878920v1	Taiwan Food and Drug Administration	2024-04-30	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_038789205.1/
428	500	GCA_003990705.1	SAMD00079807	Nostoc sp. HK-01	196308	Nostoc sp. HK-01	196308	ASM399070v1	Toyohashi University of Technology	2018-04-04	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003990705.1/
429	500	GCA_002935105.1	SAMN06040408	Leclercia sp. LSNIH3	1920116	Leclercia sp. LSNIH3	1920116	ASM293510v1	NIH	2018-02-04	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_002935105.1/
430	500	GCA_964026425.1	SAMEA114450247	Candidatus Tisiphia endosymbiont of Ditula angustiorana	3066272	Candidatus Tisiphia endosymbiont of Ditula angustiorana	3066272	ilDitAngu1.Tisiphia_sp_1.1	WELLCOME SANGER INSTITUTE	2024-04-13	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_964026425.1/
431	500	GCA_037940415.1	SAMN40560783	Streptomyces sp. f51	1827742	Streptomyces sp. f51	1827742	ASM3794041v1	Southwest University	2024-03-31	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_037940415.1/
432	500	GCA_029714405.1	SAMN34043463	Bradyrhizobium sp. CB82	3039159	Bradyrhizobium sp. CB82	3039159	ASM2971440v1	Murdoch University	2023-04-13	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_029714405.1/
433	500	GCA_041464105.1	SAMN42278573	Xanthomonas axonopodis pv. phyllanthi	473414	Xanthomonas axonopodis	53413	NCPPB2066_v1_ONT	University of Exeter	2024-08-26	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_041464105.1/
