selection_rank	first_public_panel_n	genbank_assembly_accession	biosample_accession	ncbi_organism_name	ncbi_organism_taxid	bacselect_species_name	bacselect_species_taxid	assembly_name	submitter	assembly_release_date	panel_identity	selector	selector_version	architecture_schema_version	source_snapshot_sha256	taxonomy_snapshot_sha256	execution_git_commit	ncbi_assembly_url
32	50	GCA_004634385.1	SAMN11080974	Thermaerobacter sp. FW80	2546351	Thermaerobacter sp. FW80	2546351	ASM463438v1	Chungbuk national university	2019-04-04	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_004634385.1/
33	50	GCA_022095675.2	SAMN20369863	Dactylosporangium sp. AC04546	2862460	Dactylosporangium sp. AC04546	2862460	ASM2209567v2	Sarawak BIodiversity Centre	2024-02-01	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_022095675.2/
34	50	GCA_020990385.1	SAMN23169897	Paracoccus sp. MA	2895796	Paracoccus sp. MA	2895796	ASM2099038v1	Chinese Academy of Science	2021-11-27	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_020990385.1/
35	50	GCA_002761215.1	SAMN05914505	Candidatus Gracilibacteria bacterium HOT-871	1540872	Candidatus Gracilibacteria bacterium HOT-871	1540872	ASM276121v1	Oak Ridge National Laboratory	2017-11-07	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_002761215.1/
36	50	GCA_050571355.1	SAMN48509149	Streptomyces sp. P13-3-3	3423222	Streptomyces sp. P13-3-3	3423222	ASM5057135v1	Shanxi Agricultural University	2025-05-26	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_050571355.1/
37	50	GCA_024205945.1	SAMN18897987	Macrococcus equipercicus	69967	Macrococcus equipercicus	69967	ASM2420594v1	University of Bern	2022-07-11	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_024205945.1/
38	50	GCA_001302585.1	SAMN03840758	Kibdelosporangium phytohabitans	860235	Kibdelosporangium phytohabitans	860235	ASM130258v1	Jiangsu Normal University	2015-09-29	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_001302585.1/
39	50	GCA_030322965.1	SAMN27683578	Thermosynechococcus sp. B0	2937284	Thermosynechococcus sp. B0	2937284	ASM3032296v1	Academia Sinica	2023-06-22	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_030322965.1/
40	50	GCA_020091585.1	SAMN21366140	Kovacikia minuta CCNUW1	2653194	Kovacikia minuta	2931930	ASM2009158v1	Central China Normal University	2021-09-22	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_020091585.1/
41	50	GCA_000317555.1	SAMN02261347	Gloeocapsa sp. PCC 7428	1173026	Gloeocapsa sp. PCC 7428	1173026	ASM31755v1	JGI	2012-12-06	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000317555.1/
42	50	GCA_018326145.1	SAMD00237929	Mycolicibacterium sp. TY66	2755560	Mycolicibacterium sp. TY66	2755560	ASM1832614v1	Department of Infection Metagenomics	2021-04-02	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_018326145.1/
43	50	GCA_043950205.1	SAMN44114743	Kitasatospora hibisci	3369522	Kitasatospora hibisci	3369522	ASM4395020v1	Hainan University	2024-10-23	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_043950205.1/
44	50	GCA_003515045.1	SAMN09781058	Prevotella denticola	28129	Prevotella denticola	28129	ASM351504v1	Korean Collection for Oral Microbiology	2018-09-09	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003515045.1/
45	50	GCA_050632245.1	SAMN48544551	Puia sp. P3	3423952	Puia sp. P3	3423952	ASM5063224v1	The University of Sydney	2025-06-01	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_050632245.1/
46	50	GCA_023206395.1	SAMN16631324	Vibrio sp. ED004	2785124	Vibrio sp. ED004	2785124	ASM2320639v1	Flinders Institute	2022-05-02	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_023206395.1/
47	50	GCA_003606285.1	SAMN08918700	Borrelia turcica IST7	1104446	Borrelia turcica	229155	ASM360628v1	Bavarian Health and Food Safety Authority	2018-10-01	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003606285.1/
48	50	GCA_042180575.1	SAMN43753236	Bernardetia aquimarina	3344876	Bernardetia aquimarina	3344876	ASM4218057v1	Ocean University of China	2024-09-24	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_042180575.1/
49	50	GCA_030439775.2	SAMN10141355	Borreliella bissettiae	64897	Borreliella bissettiae	64897	ASM3043977v2	Institute for Genome Sciences	2025-02-14	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_030439775.2/
50	50	GCA_029714205.1	SAMN34043461	Methylobacterium sp. CB376	3138063	Methylobacterium sp. CB376	3138063	ASM2971420v1	Murdoch University	2023-04-13	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_029714205.1/
51	100	GCA_045865405.1	SAMD00751203	Paenibacillus melissococcoides	2912268	Paenibacillus melissococcoides	2912268	ASM4586540v1	National Institute of Animal Health, National Agriculture and Food Research Organization	2024-09-04	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_045865405.1/
